Bookmark
Bookmark this report: https://irma.nps.gov/Stats/SSRSReports/National%20Reports/Query%20Builder%20for%20Public%20Use%20Statistics%20(1979%20-%20Last%20Calendar%20Year)

ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Olympic NP,OLYM,National Park,Pacific West ,WA,2019,8,"737,996","30,117","3,811,804","30,117","11,657","7,532","34,943","15,319","28,152",0,22,Olympic NP,OLYM,National Park,Pacific West ,WA,2019,"3,245,806","718,520","16,899,047","294,600","76,220","28,645","134,569","73,701","96,864",0,190
Olympic NP,OLYM,National Park,Pacific West ,WA,2019,9,"399,907","43,366","2,383,195","43,366","10,033","4,750","21,420","12,946","8,877",0,23,Olympic NP,OLYM,National Park,Pacific West ,WA,2019,"3,245,806","718,520","16,899,047","294,600","76,220","28,645","134,569","73,701","96,864",0,190
Olympic NP,OLYM,National Park,Pacific West ,WA,2019,10,"182,944","44,246","699,451","44,246","6,599","1,416","4,299","2,720","1,772",0,5,Olympic NP,OLYM,National Park,Pacific West ,WA,2019,"3,245,806","718,520","16,899,047","294,600","76,220","28,645","134,569","73,701","96,864",0,190
Olympic NP,OLYM,National Park,Pacific West ,WA,2019,11,"108,204","53,296","325,484","53,296","2,888",0,"1,065","1,237",495,0,3,Olympic NP,OLYM,National Park,Pacific West ,WA,2019,"3,245,806","718,520","16,899,047","294,600","76,220","28,645","134,569","73,701","96,864",0,190
Olympic NP,OLYM,National Park,Pacific West ,WA,2019,12,"72,359","53,328","272,476","53,328","4,031",0,514,509,163,0,5,Olympic NP,OLYM,National Park,Pacific West ,WA,2019,"3,245,806","718,520","16,899,047","294,600","76,220","28,645","134,569","73,701","96,864",0,190
Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,1,"15,341",10,"32,513",10,0,0,0,0,0,0,0,Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,"643,588",120,"1,701,149",120,0,0,0,0,"1,451",0,0
Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,2,"21,342",10,"52,385",10,0,0,0,0,7,0,0,Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,"643,588",120,"1,701,149",120,0,0,0,0,"1,451",0,0
Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,3,"55,187",10,"150,944",10,0,0,0,0,148,0,0,Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,"643,588",120,"1,701,149",120,0,0,0,0,"1,451",0,0
Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,4,"56,567",10,"155,947",10,0,0,0,0,201,0,0,Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,"643,588",120,"1,701,149",120,0,0,0,0,"1,451",0,0
Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,5,"72,802",10,"193,431",10,0,0,0,0,260,0,0,Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,"643,588",120,"1,701,149",120,0,0,0,0,"1,451",0,0
Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,6,"95,451",10,"247,605",10,0,0,0,0,225,0,0,Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,"643,588",120,"1,701,149",120,0,0,0,0,"1,451",0,0
Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,7,"90,546",10,"235,648",10,0,0,0,0,180,0,0,Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,"643,588",120,"1,701,149",120,0,0,0,0,"1,451",0,0
Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,8,"62,276",10,"160,018",10,0,0,0,0,107,0,0,Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,"643,588",120,"1,701,149",120,0,0,0,0,"1,451",0,0
Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,9,"52,525",10,"145,947",10,0,0,0,0,86,0,0,Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,"643,588",120,"1,701,149",120,0,0,0,0,"1,451",0,0
Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,10,"57,019",10,"155,612",10,0,0,0,0,141,0,0,Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,"643,588",120,"1,701,149",120,0,0,0,0,"1,451",0,0
Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,11,"32,092",10,"85,172",10,0,0,0,0,45,0,0,Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,"643,588",120,"1,701,149",120,0,0,0,0,"1,451",0,0
Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,12,"32,440",10,"85,927",10,0,0,0,0,51,0,0,Petrified Forest NP,PEFO,National Park,Intermountain ,AZ,2019,"643,588",120,"1,701,149",120,0,0,0,0,"1,451",0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,1,"1,154",0,"4,010",0,0,0,0,0,0,0,0,Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,"177,224",0,"634,536",0,0,0,0,0,0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,2,"11,735",0,"42,095",0,0,0,0,0,0,0,0,Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,"177,224",0,"634,536",0,0,0,0,0,0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,3,"24,681",0,"87,993",0,0,0,0,0,0,0,0,Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,"177,224",0,"634,536",0,0,0,0,0,0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,4,"16,234",0,"58,353",0,0,0,0,0,0,0,0,Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,"177,224",0,"634,536",0,0,0,0,0,0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,5,"19,398",0,"69,785",0,0,0,0,0,0,0,0,Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,"177,224",0,"634,536",0,0,0,0,0,0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,6,"19,061",0,"68,166",0,0,0,0,0,0,0,0,Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,"177,224",0,"634,536",0,0,0,0,0,0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,7,"13,016",0,"46,823",0,0,0,0,0,0,0,0,Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,"177,224",0,"634,536",0,0,0,0,0,0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,8,"16,795",0,"59,704",0,0,0,0,0,0,0,0,Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,"177,224",0,"634,536",0,0,0,0,0,0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,9,"14,165",0,"50,662",0,0,0,0,0,0,0,0,Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,"177,224",0,"634,536",0,0,0,0,0,0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,10,"14,084",0,"50,339",0,0,0,0,0,0,0,0,Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,"177,224",0,"634,536",0,0,0,0,0,0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,11,"14,786",0,"53,012",0,0,0,0,0,0,0,0,Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,"177,224",0,"634,536",0,0,0,0,0,0,0,0
Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,12,"12,115",0,"43,594",0,0,0,0,0,0,0,0,Pinnacles NP,PINN,National Park,Pacific West ,CA,2019,"177,224",0,"634,536",0,0,0,0,0,0,0,0
Redwood NP,REDW,National Park,Pacific West ,CA,2019,1,"17,129",0,"45,163",0,0,0,0,0,0,0,0,Redwood NP,REDW,National Park,Pacific West ,CA,2019,"504,722",0,"1,762,772",0,0,0,"2,721",0,"3,276",0,"1,818"
Redwood NP,REDW,National Park,Pacific West ,CA,2019,2,"17,768",0,"53,060",0,0,0,41,0,20,0,2,Redwood NP,REDW,National Park,Pacific West ,CA,2019,"504,722",0,"1,762,772",0,0,0,"2,721",0,"3,276",0,"1,818"
Redwood NP,REDW,National Park,Pacific West ,CA,2019,3,"30,938",0,"78,363",0,0,0,213,0,66,0,8,Redwood NP,REDW,National Park,Pacific West ,CA,2019,"504,722",0,"1,762,772",0,0,0,"2,721",0,"3,276",0,"1,818"
Redwood NP,REDW,National Park,Pacific West ,CA,2019,4,"33,179",0,"97,662",0,0,0,121,0,118,0,41,Redwood NP,REDW,National Park,Pacific West ,CA,2019,"504,722",0,"1,762,772",0,0,0,"2,721",0,"3,276",0,"1,818"
Redwood NP,REDW,National Park,Pacific West ,CA,2019,5,"62,796",0,"212,106",0,0,0,525,0,295,0,118,Redwood NP,REDW,National Park,Pacific West ,CA,2019,"504,722",0,"1,762,772",0,0,0,"2,721",0,"3,276",0,"1,818"
Redwood NP,REDW,National Park,Pacific West ,CA,2019,6,"76,137",0,"244,207",0,0,0,497,0,487,0,118,Redwood NP,REDW,National Park,Pacific West ,CA,2019,"504,722",0,"1,762,772",0,0,0,"2,721",0,"3,276",0,"1,818"
Redwood NP,REDW,National Park,Pacific West ,CA,2019,7,"69,750",0,"273,358",0,0,0,474,0,941,0,92,Redwood NP,REDW,National Park,Pacific West ,CA,2019,"504,722",0,"1,762,772",0,0,0,"2,721",0,"3,276",0,"1,818"
Redwood NP,REDW,National Park,Pacific West ,CA,2019,8,"55,227",0,"222,441",0,0,0,416,0,667,0,369,Redwood NP,REDW,National Park,Pacific West ,CA,2019,"504,722",0,"1,762,772",0,0,0,"2,721",0,"3,276",0,"1,818"
Redwood NP,REDW,National Park,Pacific West ,CA,2019,9,"55,568",0,"214,352",0,0,0,216,0,405,0,429,Redwood NP,REDW,National Park,Pacific West ,CA,2019,"504,722",0,"1,762,772",0,0,0,"2,721",0,"3,276",0,"1,818"
Redwood NP,REDW,National Park,Pacific West ,CA,2019,10,"42,048",0,"164,604",0,0,0,116,0,156,0,641,Redwood NP,REDW,National Park,Pacific West ,CA,2019,"504,722",0,"1,762,772",0,0,0,"2,721",0,"3,276",0,"1,818"
Redwood NP,REDW,National Park,Pacific West ,CA,2019,11,"24,430",0,"87,097",0,0,0,52,0,87,0,0,Redwood NP,REDW,National Park,Pacific West ,CA,2019,"504,722",0,"1,762,772",0,0,0,"2,721",0,"3,276",0,"1,818"
Redwood NP,REDW,National Park,Pacific West ,CA,2019,12,"19,752",0,"70,359",0,0,0,50,0,34,0,0,Redwood NP,REDW,National Park,Pacific West ,CA,2019,"504,722",0,"1,762,772",0,0,0,"2,721",0,"3,276",0,"1,818"
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,1,"118,152",90,"709,329",90,0,0,12,12,2,0,0,Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,"4,670,053","8,750","31,535,363","26,250",0,0,"112,791","64,809","41,213",0,877
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,2,"99,873",50,"604,533",50,0,0,144,99,0,0,88,Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,"4,670,053","8,750","31,535,363","26,250",0,0,"112,791","64,809","41,213",0,877
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,3,"146,414",80,"890,469",80,0,0,465,150,134,0,0,Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,"4,670,053","8,750","31,535,363","26,250",0,0,"112,791","64,809","41,213",0,877
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,4,"160,259",70,"997,124",70,0,0,"1,134",918,171,0,0,Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,"4,670,053","8,750","31,535,363","26,250",0,0,"112,791","64,809","41,213",0,877
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,5,"280,351",490,"1,864,409",490,0,0,"6,570","3,735","1,068",0,21,Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,"4,670,053","8,750","31,535,363","26,250",0,0,"112,791","64,809","41,213",0,877
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,6,"698,224","1,400","4,791,603","1,400",0,0,"12,912","18,225","6,307",0,197,Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,"4,670,053","8,750","31,535,363","26,250",0,0,"112,791","64,809","41,213",0,877
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,7,"973,992","2,050","6,830,898","2,050",0,0,"34,785","12,660","13,934",0,305,Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,"4,670,053","8,750","31,535,363","26,250",0,0,"112,791","64,809","41,213",0,877
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,8,"830,039","2,300","5,870,248","2,300",0,0,"30,726","13,026","11,653",0,221,Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,"4,670,053","8,750","31,535,363","26,250",0,0,"112,791","64,809","41,213",0,877
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,9,"752,320","1,500","5,146,674","1,500",0,0,"20,634","12,162","6,706",0,45,Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,"4,670,053","8,750","31,535,363","26,250",0,0,"112,791","64,809","41,213",0,877
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,10,"374,003",560,"2,390,212",560,0,0,"4,770","3,312","1,055",0,0,Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,"4,670,053","8,750","31,535,363","26,250",0,0,"112,791","64,809","41,213",0,877
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,11,"123,376",100,"752,382",100,0,0,387,270,101,0,0,Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,"4,670,053","8,750","31,535,363","26,250",0,0,"112,791","64,809","41,213",0,877
Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,12,"113,050",60,"687,482",60,0,0,252,240,82,0,0,Rocky Mountain NP,ROMO,National Park,Intermountain ,CO,2019,"4,670,053","8,750","31,535,363","26,250",0,0,"112,791","64,809","41,213",0,877
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,1,"48,968","175,443","50,895","175,443",0,0,0,0,66,0,0,Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,"1,020,226","2,694,738","1,076,297","673,686",0,0,0,0,"2,185",0,0
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,2,"149,371","168,759","156,587","168,759",0,0,0,0,209,0,0,Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,"1,020,226","2,694,738","1,076,297","673,686",0,0,0,0,"2,185",0,0
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,3,"186,275","202,348","207,139","202,348",0,0,0,0,719,0,0,Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,"1,020,226","2,694,738","1,076,297","673,686",0,0,0,0,"2,185",0,0
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,4,"117,802","188,292","127,802","188,292",0,0,0,0,447,0,0,Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,"1,020,226","2,694,738","1,076,297","673,686",0,0,0,0,"2,185",0,0
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,5,"75,838","249,475","77,545","249,475",0,0,0,0,164,0,0,Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,"1,020,226","2,694,738","1,076,297","673,686",0,0,0,0,"2,185",0,0
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,6,"49,481","233,007","49,003","233,007",0,0,0,0,26,0,0,Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,"1,020,226","2,694,738","1,076,297","673,686",0,0,0,0,"2,185",0,0
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,7,"48,553","239,455","47,418","239,455",0,0,0,0,19,0,0,Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,"1,020,226","2,694,738","1,076,297","673,686",0,0,0,0,"2,185",0,0
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,8,"51,309","247,496","51,366","247,496",0,0,0,0,16,0,0,Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,"1,020,226","2,694,738","1,076,297","673,686",0,0,0,0,"2,185",0,0
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,9,"44,812","237,407","44,684","237,407",0,0,0,0,45,0,0,Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,"1,020,226","2,694,738","1,076,297","673,686",0,0,0,0,"2,185",0,0
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,10,"64,529","253,980","67,889","253,980",0,0,0,0,128,0,0,Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,"1,020,226","2,694,738","1,076,297","673,686",0,0,0,0,"2,185",0,0
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,11,"87,053","243,938","92,719","243,938",0,0,0,0,212,0,0,Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,"1,020,226","2,694,738","1,076,297","673,686",0,0,0,0,"2,185",0,0
Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,12,"96,235","255,138","103,250","255,138",0,0,0,0,134,0,0,Saguaro NP,SAGU,National Park,Intermountain ,AZ,2019,"1,020,226","2,694,738","1,076,297","673,686",0,0,0,0,"2,185",0,0
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,1,"36,024",54,"172,914",54,"1,373",0,267,286,90,0,0,Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,"1,246,053","15,987","40,056,963","63,948","69,616",0,"133,088","68,679","29,871",0,256
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,2,"28,737","3,045","137,938","3,045","1,829",0,321,398,125,0,0,Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,"1,246,053","15,987","40,056,963","63,948","69,616",0,"133,088","68,679","29,871",0,256
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,3,"63,343","2,495","304,045","2,495","5,144",0,"1,545",849,258,0,0,Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,"1,246,053","15,987","40,056,963","63,948","69,616",0,"133,088","68,679","29,871",0,256
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,4,"93,054",857,"3,387,177",857,"7,085",0,"3,883","1,339",902,0,0,Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,"1,246,053","15,987","40,056,963","63,948","69,616",0,"133,088","68,679","29,871",0,256
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,5,"119,816","1,662","4,361,310","1,662","5,465",0,"13,165",668,"1,072",0,0,Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,"1,246,053","15,987","40,056,963","63,948","69,616",0,"133,088","68,679","29,871",0,256
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,6,"153,882","1,147","5,678,244","1,147","8,900",0,"16,860","5,136","3,547",0,0,Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,"1,246,053","15,987","40,056,963","63,948","69,616",0,"133,088","68,679","29,871",0,256
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,7,"193,633",884,"7,145,042",884,"8,219",0,"35,339","11,095","6,814",0,128,Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,"1,246,053","15,987","40,056,963","63,948","69,616",0,"133,088","68,679","29,871",0,256
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,8,"190,139",997,"6,921,058",997,"8,439",0,"33,495","24,400","12,138",0,116,Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,"1,246,053","15,987","40,056,963","63,948","69,616",0,"133,088","68,679","29,871",0,256
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,9,"144,639",879,"5,264,871",879,"7,819",0,"20,708","17,865","3,518",0,12,Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,"1,246,053","15,987","40,056,963","63,948","69,616",0,"133,088","68,679","29,871",0,256
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,10,"118,187",709,"4,302,022",709,"6,189",0,"5,222","5,037","1,334",0,0,Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,"1,246,053","15,987","40,056,963","63,948","69,616",0,"133,088","68,679","29,871",0,256
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,11,"59,502","1,098","2,165,878","1,098","5,092",0,"1,698","1,145",42,0,0,Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,"1,246,053","15,987","40,056,963","63,948","69,616",0,"133,088","68,679","29,871",0,256
Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,12,"45,097","2,160","216,464","2,160","4,062",0,585,461,31,0,0,Sequoia NP,SEQU,National Park,Pacific West ,CA,2019,"1,246,053","15,987","40,056,963","63,948","69,616",0,"133,088","68,679","29,871",0,256
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,1,"20,245",56,"45,964",56,179,0,0,0,59,0,0,Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,"1,425,507","10,962","10,618,576","2,742","95,395",0,"119,649","59,820","32,391",0,139
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,2,"10,264",56,"28,048",56,197,0,0,0,130,0,0,Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,"1,425,507","10,962","10,618,576","2,742","95,395",0,"119,649","59,820","32,391",0,139
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,3,"38,601",98,"155,798",98,368,0,786,234,"1,190",0,0,Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,"1,425,507","10,962","10,618,576","2,742","95,395",0,"119,649","59,820","32,391",0,139
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,4,"102,672","1,260","570,606","1,260","3,285",0,"5,328","2,907","2,129",0,0,Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,"1,425,507","10,962","10,618,576","2,742","95,395",0,"119,649","59,820","32,391",0,139
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,5,"150,297","1,414","1,268,442","1,414","12,487",0,"14,373","7,365","4,572",0,16,Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,"1,425,507","10,962","10,618,576","2,742","95,395",0,"119,649","59,820","32,391",0,139
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,6,"170,492","1,260","1,479,079","1,260","11,904",0,"20,916","9,564","3,367",0,25,Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,"1,425,507","10,962","10,618,576","2,742","95,395",0,"119,649","59,820","32,391",0,139
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,7,"167,335","1,414","1,532,136","1,414","13,357",0,"20,550","8,454","6,033",0,32,Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,"1,425,507","10,962","10,618,576","2,742","95,395",0,"119,649","59,820","32,391",0,139
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,8,"195,579","1,414","1,608,726","1,414","13,658",0,"22,545","8,040","4,428",0,15,Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,"1,425,507","10,962","10,618,576","2,742","95,395",0,"119,649","59,820","32,391",0,139
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,9,"176,271","1,260","1,511,212","1,260","15,819",0,"17,175","9,498","4,026",0,27,Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,"1,425,507","10,962","10,618,576","2,742","95,395",0,"119,649","59,820","32,391",0,139
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,10,"236,554","1,414","1,722,778","1,414","15,708",0,"16,206","12,465","4,788",0,24,Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,"1,425,507","10,962","10,618,576","2,742","95,395",0,"119,649","59,820","32,391",0,139
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,11,"127,014","1,260","610,210","1,260","8,152",0,"1,770","1,293","1,510",0,0,Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,"1,425,507","10,962","10,618,576","2,742","95,395",0,"119,649","59,820","32,391",0,139
Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,12,"30,183",56,"85,577",56,281,0,0,0,159,0,0,Shenandoah NP,SHEN,National Park,Northeast ,VA,2019,"1,425,507","10,962","10,618,576","2,742","95,395",0,"119,649","59,820","32,391",0,139
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,1,"2,515",472,"11,434",472,0,0,3,3,0,0,0,Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,"691,658","6,578","2,657,924","2,172",0,0,"16,862","20,524",735,0,"2,301"
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,2,"1,187",472,"5,340",472,0,0,0,0,0,0,0,Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,"691,658","6,578","2,657,924","2,172",0,0,"16,862","20,524",735,0,"2,301"
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,3,"5,935",472,"27,656",472,0,0,11,32,1,0,0,Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,"691,658","6,578","2,657,924","2,172",0,0,"16,862","20,524",735,0,"2,301"
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,4,"10,516",622,"57,070",622,0,0,181,248,24,0,0,Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,"691,658","6,578","2,657,924","2,172",0,0,"16,862","20,524",735,0,"2,301"
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,5,"75,682",623,"256,797",623,0,0,"1,893","2,133",114,0,445,Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,"691,658","6,578","2,657,924","2,172",0,0,"16,862","20,524",735,0,"2,301"
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,6,"134,590",623,"488,244",623,0,0,"3,475","4,163",155,0,365,Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,"691,658","6,578","2,657,924","2,172",0,0,"16,862","20,524",735,0,"2,301"
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,7,"149,425",622,"563,358",622,0,0,"3,769","4,722",134,0,456,Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,"691,658","6,578","2,657,924","2,172",0,0,"16,862","20,524",735,0,"2,301"
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,8,"135,584",621,"566,344",621,0,0,"3,305","5,184",189,0,618,Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,"691,658","6,578","2,657,924","2,172",0,0,"16,862","20,524",735,0,"2,301"
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,9,"110,576",624,"443,756",624,0,0,"3,815","3,488",104,0,305,Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,"691,658","6,578","2,657,924","2,172",0,0,"16,862","20,524",735,0,"2,301"
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,10,"46,043",483,"147,085",483,0,0,359,483,11,0,112,Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,"691,658","6,578","2,657,924","2,172",0,0,"16,862","20,524",735,0,"2,301"
Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,11,"17,086",472,"79,055",472,0,0,43,57,1,0,0,Theodore Roosevelt NP,THRO,National Park,Midwest ,ND,2019,"691,658","6,578","2,657,924","2,172",0,0,"16,862","20,524",735,0,"2,301"
